interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11964.00;DEFAULT_EDGEDATA;1960;5.78;0;1960;879;0;0;5.78;0;2.89;1.14;1891.38;28.34;0.98;28.24;0.96;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;11.95;0;3756;881;0;0;3.98;3756;1.99;1.37;4428.03;26.26;0.90;381.70;1.18;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.62;0;2361;882;0;0;7.62;2361;3.81;0.76;1349.05;25.88;0.89;134.75;0.57;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.46;0;488;885;0;0;1.46;488;0.73;1.08;439.42;27.92;0.96;12.90;0.90;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;26.55;0;3445;887;0;0;26.55;3445;13.28;2.32;6404.67;10.84;0.37;3988.67;1.86;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.13;0;1295;888;0;0;2.07;1295;1.03;0.85;859.69;26.18;0.90;74.77;0.66;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.47;0;488;893;0;0;1.47;488;0.73;2.31;1039.68;27.76;0.96;36.09;2.13;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.54;186;0;894;0;0;0.27;186;0.13;1.01;156.41;28.79;0.99;0.02;0.84;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;896;0;0;0.02;12;0.01;1.51;16.02;28.89;0.99;0.00;1.33;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.42;0;488;897;0;0;0.71;488;0.35;0.76;288.28;28.76;0.99;0.06;0.59;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;10.60;0;3445;898;0;0;2.65;3445;1.32;1.99;6232.77;27.18;0.94;340.46;1.81;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;68.00;0;3611;899;0;0;34.00;3611;17.00;23.78;81789.82;4.44;0.15;69176.58;22.65;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.25;0;1030;902;0;0;1.08;1030;0.54;1.35;1199.21;26.46;0.91;94.75;1.16;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;18.05;0;5124;908;0;0;3.01;5124;1.50;3.67;17710.73;23.73;0.82;3090.59;3.46;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;52.49;0;1182;909;0;0;52.49;1182;26.24;46.69;52045.68;1.88;0.06;48621.05;44.03;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;12.28;0;3524;91;0;0;3.07;3524;1.54;2.12;6742.96;23.98;0.83;1109.53;1.91;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;76.01;0;3896;911;0;0;19.00;3896;9.50;9.47;32366.96;4.28;0.15;27538.68;8.31;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;912;0;0;0.02;12;0.01;1.40;14.78;28.89;0.99;0.00;1.23;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;55.75;0;3896;913;0;0;27.87;3896;13.94;11.30;40706.01;5.84;0.20;32442.71;10.45;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.93;0;1504;914;0;0;2.47;1504;1.23;1.48;1926.98;25.49;0.88;216.59;1.28;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.23;0;1030;916;0;0;1.08;1030;0.54;7.89;7928.74;26.68;0.92;565.38;7.70;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;10.82;0;3164;918;0;0;2.70;3164;1.35;1.83;5128.61;24.45;0.84;763.76;1.62;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.49;0;488;919;0;0;1.49;488;0.74;0.99;393.46;27.46;0.94;17.84;0.81;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.32;0;444;921;0;0;0.66;444;0.33;1.53;598.35;28.09;0.97;13.68;1.35;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;71.00;0;3756;924;0;0;35.50;3756;17.75;8.83;28914.34;4.42;0.15;24465.20;7.70;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;10.17;0;3164;925;0;0;2.54;3164;1.27;1.72;4825.38;26.00;0.89;458.36;1.53;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;78.15;0;4024;926;0;0;19.54;4024;9.77;32.85;127530.04;4.30;0.15;108414.81;31.69;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;16.33;0;4770;928;0;0;5.44;4770;2.72;1.51;6226.32;24.41;0.84;946.67;1.31;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.37;0;128;93;0;0;0.37;128;0.19;0.67;63.67;28.61;0.98;0.02;0.50;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;65.72;0;3900;932;0;0;32.86;3900;16.43;29.99;113037.19;4.96;0.17;93569.18;28.98;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;16.13;0;4938;933;0;0;2.69;4938;1.34;2.12;9479.35;25.59;0.88;1038.40;1.92;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.18;0;1060;934;0;0;1.59;1060;0.80;2.89;2871.86;27.86;0.96;84.63;2.71;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;12.08;0;3968;935;0;0;2.01;3968;1.01;2.56;9425.99;27.45;0.94;412.11;2.38;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.42;0;488;936;0;0;0.71;488;0.35;1.49;641.04;28.76;0.99;0.06;1.31;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;354.10;0;8526;937;0;0;70.82;8526;35.41;18.41;135779.37;2.01;0.07;126279.11;15.93;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.43;0;1060;939;0;0;1.71;1060;0.86;1.40;1276.66;25.86;0.89;126.79;1.20;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;2.08;0;715;94;0;0;1.04;715;0.52;1.44;907.14;28.68;0.99;3.92;1.27;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.42;0;488;943;0;0;0.71;488;0.35;0.68;246.54;28.76;0.99;0.06;0.51;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;30;947;0;0;0.04;30;0.02;2.61;73.19;28.57;0.98;1.05;2.44;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.30;0;100;948;0;0;0.15;100;0.07;1.86;167.86;28.06;0.97;4.69;1.68;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.37;0;128;949;0;0;0.12;128;0.06;1.47;165.31;28.61;0.98;0.01;1.29;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;2.13;0;715;950;0;0;1.06;715;0.53;1.27;779.45;28.06;0.97;20.19;1.09;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;72.84;0;3900;951;0;0;36.42;3900;18.21;8.54;28958.11;4.48;0.15;24458.21;7.43;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;176.67;0;3756;955;0;0;44.17;3756;22.08;28.27;95602.66;1.78;0.06;89691.10;25.45;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;6.00;0;1774;956;0;0;6.00;1774;3.00;2.52;4119.07;24.72;0.85;579.27;2.32;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;139.54;0;6920;958;0;0;34.88;6920;17.44;30.36;201764.40;4.15;0.14;172680.85;29.16;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;49.15;0;3896;959;0;0;12.29;3896;6.14;15.28;56571.35;6.63;0.23;43520.33;14.52;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;101.17;0;4024;96;0;0;25.29;4024;12.65;27.41;104252.89;3.32;0.11;92182.58;25.91;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;32;960;0;0;0.09;32;0.05;1.27;35.07;28.32;0.97;0.00;1.10;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.09;0;30;962;0;0;0.04;30;0.02;1.91;52.07;28.57;0.98;0.75;1.74;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.36;0;444;964;0;0;0.68;444;0.34;3.52;1480.44;27.29;0.94;75.21;3.33;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;965;0;0;0.03;12;0.02;2.18;24.05;28.89;0.99;0.00;2.00;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;11.74;0;3524;966;0;0;2.94;3524;1.47;1.53;4694.13;25.09;0.86;590.64;1.33;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.50;0;2241;967;0;0;2.50;2241;1.25;1.06;1926.16;24.99;0.86;249.99;0.86;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.15;0;1295;968;0;0;2.08;1295;1.04;0.69;641.03;26.08;0.90;58.00;0.50;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.80;0;1030;970;0;0;1.27;1030;0.63;2.51;2358.45;22.68;0.78;496.84;2.29;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.33;0;1060;971;0;0;1.67;1060;0.83;1.00;862.00;26.59;0.91;63.70;0.81;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;77.70;3900;0;973;0;0;38.85;3900;19.43;12.40;43730.46;4.20;0.14;37360.52;11.21;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;79.96;0;3896;974;0;0;19.99;3896;9.99;11.43;39729.02;4.07;0.14;34094.86;10.20;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;119.32;0;3900;975;0;0;39.77;3900;19.89;10.33;33148.73;2.73;0.09;30004.41;8.50;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.37;0;2229;976;0;0;2.46;2229;1.23;1.08;1972.81;25.28;0.87;236.48;0.89;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.52;0;1517;977;0;0;2.26;1517;1.13;0.91;1116.74;28.05;0.97;27.18;0.74;0.00
